"Statelocation","Freq"
"alabama",31
"arizona",57
"arkansas",28
"california",446
"colorado",93
"connecticut",67
"delaware",3
"district of columbia",112
"florida",126
"georgia",110
"idaho",13
"illinois",91
"indiana",44
"iowa",30
"kansas",447
"kentucky",31
"louisiana",35
"maine",9
"maryland",61
"massachusetts",87
"michigan",86
"minnesota",53
"mississippi",8
"missouri",67
"montana",6
"nebraska",22
"nevada",39
"new hampshire",25
"new jersey",88
"new mexico",15
"new york",116
"north carolina",87
"north dakota",3
"ohio",156
"oklahoma",97
"oregon",97
"pennsylvania",130
"rhode island",12
"south carolina",29
"south dakota",7
"tennessee",49
"texas",292
"utah",22
"vermont",8
"virginia",78
"washington",67
"west virginia",10
"wisconsin",53
"wyoming",5
